timestamp,station_id,station_name,gage_height_ft,discharge_cfs
2017-08-20T00:00:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.26,
2017-08-20T00:00:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.81,2220.0
2017-08-20T00:00:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.82,45.0
2017-08-20T00:00:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.74,141.0
2017-08-20T00:00:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.17,10.2
2017-08-20T00:00:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.03,
2017-08-20T00:00:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.14,6.12
2017-08-20T00:00:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.98,42.4
2017-08-20T00:00:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T00:15:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.28,
2017-08-20T00:15:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.8,2220.0
2017-08-20T00:15:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.82,45.0
2017-08-20T00:15:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.73,139.0
2017-08-20T00:15:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.19,10.6
2017-08-20T00:15:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.01,
2017-08-20T00:15:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.14,6.12
2017-08-20T00:15:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.97,41.6
2017-08-20T00:15:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T00:30:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.31,
2017-08-20T00:30:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.8,2220.0
2017-08-20T00:30:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.83,45.6
2017-08-20T00:30:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.72,136.0
2017-08-20T00:30:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.21,11.0
2017-08-20T00:30:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.08,
2017-08-20T00:30:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.13,5.88
2017-08-20T00:30:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.97,41.6
2017-08-20T00:30:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T00:45:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.25,
2017-08-20T00:45:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.79,2210.0
2017-08-20T00:45:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.83,45.6
2017-08-20T00:45:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.74,141.0
2017-08-20T00:45:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.22,11.2
2017-08-20T00:45:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.17,
2017-08-20T00:45:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.13,5.88
2017-08-20T00:45:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.97,41.6
2017-08-20T00:45:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T01:00:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.31,
2017-08-20T01:00:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.79,2210.0
2017-08-20T01:00:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.83,45.6
2017-08-20T01:00:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.73,139.0
2017-08-20T01:00:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.26,12.1
2017-08-20T01:00:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.28,
2017-08-20T01:00:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.13,5.88
2017-08-20T01:00:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.97,41.6
2017-08-20T01:00:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T01:15:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.28,
2017-08-20T01:15:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.78,2210.0
2017-08-20T01:15:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.85,46.9
2017-08-20T01:15:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.72,136.0
2017-08-20T01:15:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.27,12.4
2017-08-20T01:15:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.27,
2017-08-20T01:15:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.13,5.88
2017-08-20T01:15:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.97,41.6
2017-08-20T01:15:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T01:30:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.27,
2017-08-20T01:30:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.78,2210.0
2017-08-20T01:30:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.84,46.2
2017-08-20T01:30:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.72,136.0
2017-08-20T01:30:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.29,12.8
2017-08-20T01:30:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.34,
2017-08-20T01:30:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.12,5.64
2017-08-20T01:30:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.97,41.6
2017-08-20T01:30:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T01:45:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.3,
2017-08-20T01:45:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.78,2210.0
2017-08-20T01:45:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.84,46.2
2017-08-20T01:45:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.72,136.0
2017-08-20T01:45:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.29,12.8
2017-08-20T01:45:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.34,
2017-08-20T01:45:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.12,5.64
2017-08-20T01:45:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.96,40.8
2017-08-20T01:45:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T02:00:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.24,
2017-08-20T02:00:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.77,2210.0
2017-08-20T02:00:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.84,46.2
2017-08-20T02:00:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.73,139.0
2017-08-20T02:00:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.3,13.1
2017-08-20T02:00:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.38,
2017-08-20T02:00:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.12,5.64
2017-08-20T02:00:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.96,40.8
2017-08-20T02:00:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T02:15:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.19,
2017-08-20T02:15:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.77,2210.0
2017-08-20T02:15:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.84,46.2
2017-08-20T02:15:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.72,136.0
2017-08-20T02:15:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.31,13.3
2017-08-20T02:15:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.39,
2017-08-20T02:15:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.12,5.64
2017-08-20T02:15:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.96,40.8
2017-08-20T02:15:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T02:30:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.26,
2017-08-20T02:30:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.75,2200.0
2017-08-20T02:30:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.83,45.6
2017-08-20T02:30:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.71,133.0
2017-08-20T02:30:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.31,13.3
2017-08-20T02:30:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.42,
2017-08-20T02:30:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.12,5.64
2017-08-20T02:30:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.96,40.8
2017-08-20T02:30:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T02:45:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.25,
2017-08-20T02:45:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.74,2200.0
2017-08-20T02:45:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.85,46.9
2017-08-20T02:45:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.72,136.0
2017-08-20T02:45:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.3,13.1
2017-08-20T02:45:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.46,
2017-08-20T02:45:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.12,5.64
2017-08-20T02:45:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.97,41.6
2017-08-20T02:45:00.000-05:00,08076500,"Halls Bayou at Houston, TX",39.49,7.88
2017-08-20T03:00:00.000-05:00,08074000,"Buffalo Bayou at Houston, TX",8.23,
2017-08-20T03:00:00.000-05:00,08073600,"Buffalo Bayou at W Belt Dr, Houston, TX",47.75,2200.0
2017-08-20T03:00:00.000-05:00,08074500,"Whiteoak Bayou at Houston, TX",7.83,45.6
2017-08-20T03:00:00.000-05:00,08075000,"Brays Bayou at Houston, TX",16.72,136.0
2017-08-20T03:00:00.000-05:00,08075400,"Sims Bayou at Hiram Clarke St, Houston, TX",26.31,13.3
2017-08-20T03:00:00.000-05:00,08075500,"Sims Bayou at Houston, TX",-0.46,
2017-08-20T03:00:00.000-05:00,08075770,"Hunting Bayou at IH 610, Houston, TX",17.12,5.64
2017-08-20T03:00:00.000-05:00,08076000,"Greens Bayou nr Houston, TX",38.96,40.8
