date,dewpoint_c,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,21.7,0.0,5.1,,1015.7,8,,USW00012921,24.4,2007-06-21T00:00:00,,,,0,,0.0
,21.7,0.0,,,1015.6,8,,USW00012921,24.4,2007-06-21T01:00:00,,,,80,,3.1
,21.7,0.0,,,1016.6,7,,USW00012921,23.9,2007-06-21T02:00:00,,,,60,,1.5
,21.7,0.0,,,1017.1,4,,USW00012921,23.3,2007-06-21T03:00:00,,,,10,,1.5
,22.2,0.0,,,1018.0,7,,USW00012921,23.3,2007-06-21T04:00:00,,,,340,,1.5
,22.2,0.0,,,1017.9,4,,USW00012921,23.3,2007-06-21T05:00:00,,,,360,,1.5
,22.2,0.0,,,1017.7,6,,USW00012921,23.9,2007-06-21T06:00:00,,,,0,,0.0
,22.2,0.0,,,1017.2,8,,USW00012921,23.3,2007-06-21T07:00:00,,,,0,,0.0
,22.2,0.0,,,1016.5,8,,USW00012921,23.3,2007-06-21T08:00:00,,,,0,,0.0
,22.2,0.0,,,1016.2,,,USW00012921,22.8,2007-06-21T09:00:00,,,,0,,0.0
,22.8,0.0,,,1016.5,8,,USW00012921,23.9,2007-06-21T10:00:00,,,,0,,0.0
,22.8,0.0,,,1016.6,8,,USW00012921,24.4,2007-06-21T11:00:00,,,,80,,1.5
,22.8,0.0,,,1016.4,8,,USW00012921,23.9,2007-06-21T12:00:00,,,,0,,0.0
,23.3,0.0,,,1017.0,8,,USW00012921,25.0,2007-06-21T13:00:00,,,,0,,0.0
,23.3,0.0,,,1017.4,8,,USW00012921,25.6,2007-06-21T14:00:00,,,,180,,2.1
,22.8,0.0,,,1017.3,8,,USW00012921,26.7,2007-06-21T15:00:00,,,,180,,2.6
,22.8,0.0,,,1017.2,7,,USW00012921,28.3,2007-06-21T16:00:00,,,,200,,3.6
,21.7,0.0,,,1016.9,8,,USW00012921,29.4,2007-06-21T17:00:00,,,,160,,3.6
,20.6,0.0,,,1016.4,8,,USW00012921,30.0,2007-06-21T18:00:00,,,,0,,0.0
,22.8,1.3,,,1016.4,8,,USW00012921,26.7,2007-06-21T19:00:00,,,,250,,1.5
,20.6,8.1,,,1017.1,8,,USW00012921,22.8,2007-06-21T20:00:00,,,,70,,6.2
,20.0,5.8,,,1016.8,8,,USW00012921,22.2,2007-06-21T21:00:00,,,,30,,2.6
,20.6,-0.1,,,1016.0,7,,USW00012921,23.9,2007-06-21T22:00:00,,,,130,,1.5
,22.2,0.0,,,1015.4,8,,USW00012921,25.6,2007-06-21T23:00:00,,,,130,,4.1
,22.8,0.0,15.0,,1015.5,8,,USW00012921,25.6,2007-06-22T00:00:00,,,,110,,4.6
,22.8,0.0,,,1016.1,8,,USW00012921,25.6,2007-06-22T01:00:00,,,,150,,3.6
,22.8,0.0,,,1016.8,8,,USW00012921,25.0,2007-06-22T02:00:00,,,,120,,4.1
,22.8,-0.1,,,1016.9,6,,USW00012921,24.4,2007-06-22T03:00:00,,,,140,,4.6
,22.0,-0.1,,,,8,,USW00012921,23.0,2007-06-22T04:00:00,,,,180,,3.6
,21.7,-0.1,,,1017.3,7,,USW00012921,23.3,2007-06-22T05:00:00,,,,170,,1.5
,21.7,0.0,-0.1,,1017.0,6,,USW00012921,23.3,2007-06-22T06:00:00,,,,180,,1.5
,21.1,0.0,,,1016.8,7,,USW00012921,23.3,2007-06-22T07:00:00,,,,200,,1.5
,21.1,0.0,,,1016.3,8,,USW00012921,22.8,2007-06-22T08:00:00,,,,0,,0.0
,21.1,0.0,,,1015.9,8,,USW00012921,22.8,2007-06-22T09:00:00,,,,0,,0.0
,21.1,0.0,,,1016.0,7,,USW00012921,22.8,2007-06-22T10:00:00,,,,100,,1.5
,21.1,0.0,,,1015.8,8,,USW00012921,22.8,2007-06-22T11:00:00,,,,0,,0.0
,21.1,0.0,,,1015.9,8,,USW00012921,22.8,2007-06-22T12:00:00,,,,100,,1.5
,21.7,0.0,,,1016.3,8,,USW00012921,23.3,2007-06-22T13:00:00,,,,100,,2.6
,21.7,0.0,,,1016.4,8,,USW00012921,23.3,2007-06-22T14:00:00,,,,110,,2.6
,22.8,0.0,,,1016.5,8,,USW00012921,24.4,2007-06-22T15:00:00,,,,130,,2.1
,22.8,0.0,,,1016.6,8,,USW00012921,25.6,2007-06-22T16:00:00,,,,150,,2.6
,22.8,0.0,,,1016.4,8,,USW00012921,26.1,2007-06-22T17:00:00,,,,140,,3.1
,22.8,0.0,,,1016.0,8,,USW00012921,27.2,2007-06-22T18:00:00,,,,140,,3.1
,22.2,0.0,,,1015.4,8,,USW00012921,27.2,2007-06-22T19:00:00,,,,140,,2.6
,21.7,-0.1,,,1014.8,8,,USW00012921,26.7,2007-06-22T20:00:00,,,,160,,4.6
,20.0,0.5,,,1014.6,8,,USW00012921,22.8,2007-06-22T21:00:00,,,,0,,0.0
,21.7,1.3,,,1014.0,8,,USW00012921,24.4,2007-06-22T22:00:00,,,,0,,0.0
,21.7,0.0,,,1014.0,8,,USW00012921,24.4,2007-06-22T23:00:00,,,,130,,5.1
,21.1,0.0,2.0,,1013.9,8,,USW00012921,23.3,2007-06-23T00:00:00,,,,130,,4.6
,21.7,-0.1,,,1014.0,8,,USW00012921,22.8,2007-06-23T01:00:00,,,,170,,3.1
,21.1,0.0,,,1013.8,8,,USW00012921,23.3,2007-06-23T02:00:00,,,,170,,3.1
,21.1,0.0,,,1013.5,8,,USW00012921,22.8,2007-06-23T03:00:00,,,,140,,1.5
,21.1,0.0,,,1013.9,8,,USW00012921,22.8,2007-06-23T04:00:00,,,,190,,2.1
,20.6,0.0,,,1014.1,8,,USW00012921,22.8,2007-06-23T05:00:00,,,,180,,2.1
,20.0,0.0,0.0,,1013.8,8,,USW00012921,22.2,2007-06-23T06:00:00,,,,0,,0.0
,20.6,0.0,,,1013.1,8,,USW00012921,22.2,2007-06-23T07:00:00,,,,10,,1.5
,20.6,0.0,,,1013.1,8,,USW00012921,22.2,2007-06-23T08:00:00,,,,0,,0.0
,21.1,0.0,,,1013.6,8,,USW00012921,22.2,2007-06-23T09:00:00,,,,0,,0.0
,20.6,0.0,,,1013.6,8,,USW00012921,22.2,2007-06-23T10:00:00,,,,40,,1.5
,20.6,0.0,,,1013.1,8,,USW00012921,21.7,2007-06-23T11:00:00,,,,0,,0.0
,20.6,0.0,,,1013.7,8,,USW00012921,21.7,2007-06-23T12:00:00,,,,110,,2.1
,21.1,0.0,,,1014.0,8,,USW00012921,22.2,2007-06-23T13:00:00,,,,140,,3.1
,20.0,0.0,,,1013.8,7,,USW00012921,22.8,2007-06-23T14:00:00,,,,120,,3.1
,19.4,0.0,,,1013.3,4,,USW00012921,25.0,2007-06-23T15:00:00,,,,210,,2.1
,18.9,0.0,,,1013.1,8,,USW00012921,26.1,2007-06-23T16:00:00,,,,170,,2.6
,18.9,0.0,,,1012.9,7,,USW00012921,27.8,2007-06-23T17:00:00,,,,180,,4.1
,20.0,0.0,,,1012.8,6,,USW00012921,27.8,2007-06-23T18:00:00,,,,160,,4.1
,20.0,0.0,,,1012.3,7,,USW00012921,28.3,2007-06-23T19:00:00,,,,130,,4.6
,20.0,0.0,,,1012.2,8,,USW00012921,28.3,2007-06-23T20:00:00,,,,140,,3.1
,18.9,-0.1,,,1012.2,8,,USW00012921,25.6,2007-06-23T21:00:00,,,,170,,7.2
,20.0,-0.1,,,1011.7,8,,USW00012921,26.1,2007-06-23T22:00:00,,,,130,,6.7
,20.6,0.0,,,1011.4,8,,USW00012921,25.0,2007-06-23T23:00:00,,,,140,,5.1
,21.1,-0.1,-0.1,,1011.3,8,,USW00012921,23.3,2007-06-24T00:00:00,,,,150,,6.7
,20.6,-0.1,,,1011.0,8,,USW00012921,23.3,2007-06-24T01:00:00,,,,150,,6.7
,20.0,0.0,,,1011.0,8,,USW00012921,22.8,2007-06-24T02:00:00,,,,150,,6.2
,20.0,0.0,,,1011.5,8,,USW00012921,22.8,2007-06-24T03:00:00,,,,150,,4.1
,20.0,0.0,,,1011.9,8,,USW00012921,22.2,2007-06-24T04:00:00,,,,150,,3.6
,19.4,0.0,,,1012.0,8,,USW00012921,21.7,2007-06-24T05:00:00,,,,180,,2.1
,19.4,0.0,-0.1,,1012.3,8,,USW00012921,22.2,2007-06-24T06:00:00,,,,0,,0.0
,18.9,0.0,,,1012.3,7,,USW00012921,22.2,2007-06-24T07:00:00,,,,190,,1.5
,18.9,-0.1,,,1012.1,7,,USW00012921,22.2,2007-06-24T08:00:00,,,,0,,0.0
,18.9,-0.1,,,1012.1,8,,USW00012921,22.2,2007-06-24T09:00:00,,,,0,,0.0
,18.9,-0.1,,,1011.3,8,,USW00012921,21.7,2007-06-24T10:00:00,,,,0,,0.0
,18.9,0.0,,,1011.5,8,,USW00012921,21.7,2007-06-24T11:00:00,,,,0,,0.0
,18.9,-0.1,-0.1,,1011.8,8,,USW00012921,22.2,2007-06-24T12:00:00,,,,0,,0.0
,20.0,0.0,,,1012.2,8,,USW00012921,22.2,2007-06-24T13:00:00,,,,90,,2.1
,20.6,0.0,,,1012.6,7,,USW00012921,23.9,2007-06-24T14:00:00,,,,110,,2.6
,21.7,0.0,,,1012.2,4,,USW00012921,25.6,2007-06-24T15:00:00,,,,130,,4.6
,21.7,0.0,,,1012.9,8,,USW00012921,26.7,2007-06-24T16:00:00,,,,160,,5.7
,21.1,0.0,,,1012.8,7,,USW00012921,28.3,2007-06-24T17:00:00,,,,180,,5.7
,21.7,-0.1,0.0,,1012.4,6,,USW00012921,28.3,2007-06-24T18:00:00,,,,,,
,21.1,0.0,,,1011.6,7,,USW00012921,28.9,2007-06-24T19:00:00,,,,130,,4.1
,22.2,0.0,,,1010.9,7,,USW00012921,30.6,2007-06-24T20:00:00,,,,100,,2.6
,22.8,0.3,,,1011.2,8,,USW00012921,26.1,2007-06-24T21:00:00,,,,170,,7.2
,22.8,1.5,,,1011.1,8,,USW00012921,26.7,2007-06-24T22:00:00,,,,140,,5.1
,23.3,3.3,,,1010.7,4,,USW00012921,26.7,2007-06-24T23:00:00,,,,160,,4.6
,22.8,0.0,5.1,,1010.7,4,,USW00012921,27.2,2007-06-25T00:00:00,,,,140,,6.2
,22.2,0.0,,,1011.1,4,,USW00012921,26.1,2007-06-25T01:00:00,,,,140,,5.1
,22.2,0.0,,,1011.6,8,,USW00012921,25.6,2007-06-25T02:00:00,,,,130,,4.6
,22.2,0.0,,,1012.3,8,,USW00012921,25.0,2007-06-25T03:00:00,,,,130,,4.1
,22.2,0.0,,,1012.8,8,,USW00012921,25.0,2007-06-25T04:00:00,,,,140,,4.6
,22.8,0.0,,,1013.6,8,,USW00012921,24.4,2007-06-25T05:00:00,,,,120,,3.1
,22.8,0.0,,,1014.2,8,,USW00012921,25.0,2007-06-25T06:00:00,,,,140,,3.1
,22.8,0.0,,,1013.3,8,,USW00012921,24.4,2007-06-25T07:00:00,,,,130,,3.1
,23.3,0.0,,,1013.1,8,,USW00012921,24.4,2007-06-25T08:00:00,,,,120,,3.1
,23.3,0.0,,,1013.2,8,,USW00012921,25.0,2007-06-25T09:00:00,,,,150,,3.1
,23.3,0.0,,,1013.0,8,,USW00012921,25.0,2007-06-25T10:00:00,,,,160,,3.6
,23.3,0.0,,,1012.8,8,,USW00012921,25.0,2007-06-25T11:00:00,,,,150,,3.6
,23.3,0.0,,,1013.4,8,,USW00012921,25.0,2007-06-25T12:00:00,,,,160,,3.6
,23.3,0.0,,,1014.0,8,,USW00012921,25.6,2007-06-25T13:00:00,,,,140,,3.1
,23.9,0.0,,,1014.5,8,,USW00012921,26.7,2007-06-25T14:00:00,,,,130,,4.1
,23.9,0.0,,,1014.6,8,,USW00012921,27.2,2007-06-25T15:00:00,,,,150,,5.1
,23.3,0.0,,,1014.5,7,,USW00012921,28.3,2007-06-25T16:00:00,,,,190,,6.2
,23.9,0.0,,,1014.3,7,,USW00012921,29.4,2007-06-25T17:00:00,,,,160,,6.2
,23.3,0.0,,,1014.0,6,,USW00012921,30.6,2007-06-25T18:00:00,,,,180,,7.7
,23.3,0.0,,,1013.5,4,,USW00012921,31.1,2007-06-25T19:00:00,,,,160,,7.7
,23.3,0.0,,,1012.7,4,,USW00012921,32.2,2007-06-25T20:00:00,,,,170,,6.7
,22.2,-0.1,,,1012.6,6,,USW00012921,30.6,2007-06-25T21:00:00,,,,200,,9.8
,18.3,-0.1,,,1012.6,7,,USW00012921,30.0,2007-06-25T22:00:00,,,,200,,8.8
,22.8,-0.1,,,1012.3,4,,USW00012921,29.4,2007-06-25T23:00:00,,,,80,,4.1
,23.3,0.0,0.0,,1012.3,6,,USW00012921,28.9,2007-06-26T00:00:00,,,,100,,5.1
,23.3,-0.1,,,1012.9,4,,USW00012921,28.3,2007-06-26T01:00:00,,,,140,,7.7
,23.3,0.5,,,1013.3,7,,USW00012921,26.7,2007-06-26T02:00:00,,,,140,,5.7
,23.3,0.0,,,1014.1,4,,USW00012921,26.7,2007-06-26T03:00:00,,,,140,,5.7
,23.3,0.0,,,1014.8,2,,USW00012921,26.1,2007-06-26T04:00:00,,,,140,,5.1
,23.9,0.0,,,1015.5,8,,USW00012921,26.1,2007-06-26T05:00:00,,,,150,,6.2
,23.9,0.0,0.5,,1015.6,8,,USW00012921,26.1,2007-06-26T06:00:00,,,,150,,5.7
,24.4,0.0,,,1015.5,8,,USW00012921,26.1,2007-06-26T07:00:00,,,,150,,4.6
,23.9,0.5,,,1015.0,7,,USW00012921,26.1,2007-06-26T08:00:00,,,,160,,7.7
,23.9,0.0,,,1014.9,8,,USW00012921,25.6,2007-06-26T09:00:00,,,,150,,6.2
,23.9,0.0,,,1014.7,8,,USW00012921,25.6,2007-06-26T10:00:00,,,,160,,6.2
,23.3,0.0,,,1014.8,8,,USW00012921,25.6,2007-06-26T11:00:00,,,,170,,5.7
,23.3,0.0,0.5,,1015.3,8,,USW00012921,25.6,2007-06-26T12:00:00,,,,160,,5.7
,23.3,0.0,,,1016.2,8,,USW00012921,25.6,2007-06-26T13:00:00,,,,160,,4.1
,23.3,0.0,,,1016.5,8,,USW00012921,26.1,2007-06-26T14:00:00,,,,160,,6.2
,23.9,0.0,,,1016.9,6,,USW00012921,27.8,2007-06-26T15:00:00,,,,160,,8.2
,23.9,1.3,,,1016.9,8,,USW00012921,26.1,2007-06-26T16:00:00,,,,170,,4.6
,24.4,-0.1,,,1016.7,7,,USW00012921,29.4,2007-06-26T17:00:00,,,,160,,7.2
,23.3,-0.1,1.0,,1016.6,4,,USW00012921,30.0,2007-06-26T18:00:00,,,,180,,7.2
,23.3,0.0,,,1016.1,4,,USW00012921,31.1,2007-06-26T19:00:00,,,,180,,8.2
,22.8,0.0,,,1015.1,2,,USW00012921,31.7,2007-06-26T20:00:00,,,,170,,8.2
,22.8,0.0,,,1014.5,4,,USW00012921,31.1,2007-06-26T21:00:00,,,,170,,9.3
,22.8,0.0,,,1013.8,4,,USW00012921,30.6,2007-06-26T22:00:00,,,,180,,7.7
,22.8,0.0,,,1013.1,2,,USW00012921,31.1,2007-06-26T23:00:00,,,,170,,8.2
,23.3,0.0,,,1012.7,6,,USW00012921,30.6,2007-06-27T00:00:00,,,,170,,7.2
,23.9,0.0,,,1012.9,4,,USW00012921,30.0,2007-06-27T01:00:00,,,,160,,5.1
,24.4,0.0,,,1013.3,4,,USW00012921,28.9,2007-06-27T02:00:00,,,,150,,5.7
,24.4,0.0,,,1013.2,6,,USW00012921,28.3,2007-06-27T03:00:00,,,,160,,6.7
,24.4,0.0,,,1014.0,8,,USW00012921,27.8,2007-06-27T04:00:00,,,,140,,6.7
,23.9,0.0,,,1014.3,8,,USW00012921,26.7,2007-06-27T05:00:00,,,,160,,6.2
,23.9,0.0,,,1014.3,8,,USW00012921,26.7,2007-06-27T06:00:00,,,,160,,6.2
,23.9,0.0,,,1013.9,8,,USW00012921,26.1,2007-06-27T07:00:00,,,,170,,5.7
,23.3,0.0,,,1013.8,8,,USW00012921,26.1,2007-06-27T08:00:00,,,,160,,5.7
,23.3,0.0,,,1013.7,8,,USW00012921,26.1,2007-06-27T09:00:00,,,,160,,6.2
,22.8,0.0,,,1013.6,8,,USW00012921,25.6,2007-06-27T10:00:00,,,,160,,6.7
,22.8,0.0,,,1013.8,8,,USW00012921,25.6,2007-06-27T11:00:00,,,,160,,5.7
,22.2,0.0,,,1014.4,8,,USW00012921,25.0,2007-06-27T12:00:00,,,,170,,6.7
,22.2,0.0,,,1015.7,8,,USW00012921,25.0,2007-06-27T13:00:00,,,,190,,7.7
,22.2,0.3,,,1015.6,8,,USW00012921,25.0,2007-06-27T14:00:00,,,,190,,7.7
,20.6,-0.1,,,1013.9,6,,USW00012921,25.0,2007-06-27T15:00:00,,,,190,,6.7
