date,dewpoint_c,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,6.1,0.0,,,1018.9,0,,USW00013958,22.8,2013-10-24T00:00:00,,,,170,,1.5
,6.7,0.0,,,1019.5,0,,USW00013958,21.1,2013-10-24T01:00:00,,,,0,,0.0
,7.8,0.0,,,1019.7,0,,USW00013958,18.9,2013-10-24T02:00:00,,,,0,,0.0
,7.2,0.0,,,1019.8,0,,USW00013958,18.3,2013-10-24T03:00:00,,,,0,,0.0
,6.7,0.0,,,1019.8,0,,USW00013958,17.2,2013-10-24T04:00:00,,,,0,,0.0
,7.8,0.0,,,1020.1,0,,USW00013958,15.6,2013-10-24T05:00:00,,,,0,,0.0
,7.8,0.0,,,1020.0,0,,USW00013958,15.6,2013-10-24T06:00:00,,,,0,,0.0
,7.2,0.0,,,1020.0,0,,USW00013958,15.0,2013-10-24T07:00:00,,,,0,,0.0
,7.2,0.0,,,1020.1,0,,USW00013958,13.3,2013-10-24T08:00:00,,,,0,,0.0
,7.8,0.0,,,1020.1,0,,USW00013958,13.3,2013-10-24T09:00:00,,,,0,,0.0
,7.2,0.0,,,1020.1,0,,USW00013958,13.3,2013-10-24T10:00:00,,,,0,,0.0
,6.1,0.0,,,1020.5,0,,USW00013958,15.6,2013-10-24T11:00:00,,,,310,,1.5
,7.8,0.0,,,1021.0,0,,USW00013958,15.0,2013-10-24T12:00:00,,,,290,,1.5
,8.3,0.0,,,1021.9,0,,USW00013958,12.8,2013-10-24T13:00:00,,,,0,,0.0
,8.3,0.0,,,1022.6,0,,USW00013958,16.7,2013-10-24T14:00:00,,,,0,,0.0
,7.8,0.0,,,1023.3,0,,USW00013958,19.4,2013-10-24T15:00:00,,,,310,,1.5
,10.0,0.0,,,1023.5,0,,USW00013958,22.8,2013-10-24T16:00:00,,,,,,1.5
,8.9,0.0,,,1023.5,0,,USW00013958,25.6,2013-10-24T17:00:00,,,,210,,3.1
,7.2,0.0,,,1022.9,0,,USW00013958,26.1,2013-10-24T18:00:00,,,,,,2.1
,7.8,0.0,,,1021.9,0,,USW00013958,26.7,2013-10-24T19:00:00,,,,180,,3.6
,6.7,0.0,,,1021.2,0,,USW00013958,27.2,2013-10-24T20:00:00,,,,,,2.1
,7.2,0.0,,,1021.0,0,,USW00013958,27.2,2013-10-24T21:00:00,,,,130,,2.6
,7.2,0.0,,,1020.9,0,,USW00013958,26.7,2013-10-24T22:00:00,,,,130,,3.1
,7.8,0.0,,,1020.8,0,,USW00013958,25.0,2013-10-24T23:00:00,,,,,,2.1
,8.3,0.0,,,1021.2,0,,USW00013958,23.3,2013-10-25T00:00:00,,,,0,,0.0
,10.0,0.0,,,1022.0,0,,USW00013958,21.1,2013-10-25T01:00:00,,,,0,,0.0
,10.6,0.0,,,1022.5,0,,USW00013958,19.4,2013-10-25T02:00:00,,,,0,,0.0
,10.6,0.0,,,1023.0,0,,USW00013958,18.3,2013-10-25T03:00:00,,,,0,,0.0
,11.1,0.0,,,1023.4,0,,USW00013958,17.2,2013-10-25T04:00:00,,,,0,,0.0
,11.1,0.0,,,1023.3,0,,USW00013958,16.1,2013-10-25T05:00:00,,,,0,,0.0
,11.1,0.0,,,1023.7,0,,USW00013958,14.4,2013-10-25T06:00:00,,,,0,,0.0
,11.1,0.0,,,1023.8,0,,USW00013958,14.4,2013-10-25T07:00:00,,,,0,,0.0
,11.1,0.0,,,1023.7,0,,USW00013958,15.0,2013-10-25T08:00:00,,,,0,,0.0
,10.6,0.0,,,1023.8,0,,USW00013958,13.3,2013-10-25T09:00:00,,,,0,,0.0
,10.6,0.0,,,1024.1,0,,USW00013958,12.8,2013-10-25T10:00:00,,,,0,,0.0
,10.6,0.0,,,1024.6,0,,USW00013958,12.8,2013-10-25T11:00:00,,,,0,,0.0
,10.6,0.0,,,1025.1,0,,USW00013958,12.8,2013-10-25T12:00:00,,,,0,,0.0
,10.0,0.0,,,1025.8,0,,USW00013958,12.2,2013-10-25T13:00:00,,,,0,,0.0
,12.2,0.0,,,1026.1,0,,USW00013958,16.7,2013-10-25T14:00:00,,,,0,,0.0
,11.7,0.0,,,1026.7,0,,USW00013958,18.9,2013-10-25T15:00:00,,,,,,1.5
,12.8,0.0,,,1026.7,0,,USW00013958,21.1,2013-10-25T16:00:00,,,,,,2.1
,13.3,0.0,,,1026.5,0,,USW00013958,23.3,2013-10-25T17:00:00,,,,,,2.1
,14.4,0.0,,,1026.1,0,,USW00013958,23.9,2013-10-25T18:00:00,,,,0,,0.0
,15.0,0.0,,,1024.6,2,,USW00013958,25.0,2013-10-25T19:00:00,,,,,,2.6
