date,dewpoint_c,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,22.2,0.0,,,1012.3,2,,USW00012960,33.9,2017-08-20T00:00:00,,,,110,,3.6
,23.9,0.0,,,1013.0,2,,USW00012960,31.7,2017-08-20T01:00:00,,,,140,,6.2
,23.9,0.0,,,1013.8,2,,USW00012960,31.1,2017-08-20T02:00:00,,,,180,,2.6
,22.8,0.0,,,1014.7,2,,USW00012960,30.6,2017-08-20T03:00:00,,,,170,,3.6
,22.8,0.0,,,1015.4,0,,USW00012960,30.0,2017-08-20T04:00:00,,,,170,,2.6
,23.9,0.0,,,1015.6,0,,USW00012960,28.9,2017-08-20T05:00:00,,,,200,,2.1
,23.9,0.0,,,1015.4,0,,USW00012960,28.3,2017-08-20T06:00:00,,,,200,,2.1
,23.9,0.0,,,1015.2,2,,USW00012960,28.3,2017-08-20T07:00:00,,,,190,,1.5
,23.9,0.0,,,1014.7,2,,USW00012960,26.1,2017-08-20T08:00:00,,,,0,,0.0
,23.9,0.0,,,1014.4,2,,USW00012960,26.7,2017-08-20T09:00:00,,,,0,,0.0
,23.9,0.0,,,1014.7,2,,USW00012960,25.6,2017-08-20T10:00:00,,,,0,,0.0
,23.9,0.0,,,1014.8,2,,USW00012960,25.0,2017-08-20T11:00:00,,,,0,,0.0
,23.9,0.0,,,1015.1,2,,USW00012960,25.0,2017-08-20T12:00:00,,,,0,,0.0
,25.0,0.0,,,1016.0,4,,USW00012960,26.7,2017-08-20T13:00:00,,,,170,,1.5
,25.0,0.0,,,1016.5,4,,USW00012960,29.4,2017-08-20T14:00:00,,,,0,,0.0
,25.0,0.0,,,1016.6,4,,USW00012960,31.7,2017-08-20T15:00:00,,,,190,,1.5
,23.3,0.0,,,1016.5,4,,USW00012960,32.2,2017-08-20T16:00:00,,,,,,1.5
,22.2,0.0,,,1016.8,4,,USW00012960,33.3,2017-08-20T17:00:00,,,,160,,3.1
,21.7,0.0,,,1016.5,4,,USW00012960,34.4,2017-08-20T18:00:00,,,,170,,2.1
,21.1,0.0,,,1015.9,4,,USW00012960,35.0,2017-08-20T19:00:00,,,,,,3.1
,22.2,0.0,,,1015.0,4,,USW00012960,35.0,2017-08-20T20:00:00,,,,,,2.1
,21.7,0.0,,,1014.3,4,,USW00012960,35.0,2017-08-20T21:00:00,,,,100,,3.1
,21.7,0.0,,,1014.2,4,,USW00012960,33.9,2017-08-20T22:00:00,,,,120,,5.7
,21.7,0.0,,,1014.2,4,,USW00012960,33.3,2017-08-20T23:00:00,,,,180,,5.1
,22.8,0.0,,,1014.3,4,,USW00012960,32.8,2017-08-21T00:00:00,,,,140,,5.7
,23.3,0.0,,,1014.6,4,,USW00012960,31.1,2017-08-21T01:00:00,,,,130,,6.7
,23.9,0.0,,,1015.2,4,,USW00012960,29.4,2017-08-21T02:00:00,,,,120,,5.1
,23.9,0.0,,,1016.0,4,,USW00012960,28.9,2017-08-21T03:00:00,,,,150,,3.6
,23.9,0.0,,,1016.9,2,,USW00012960,27.8,2017-08-21T04:00:00,,,,120,,2.6
,23.9,0.0,,,1017.0,2,,USW00012960,27.8,2017-08-21T05:00:00,,,,190,,1.5
,23.9,0.0,,,1017.3,2,,USW00012960,26.7,2017-08-21T06:00:00,,,,170,,1.5
,23.9,0.0,,,1017.4,4,,USW00012960,26.7,2017-08-21T07:00:00,,,,0,,0.0
