date,dewpoint_c,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,21.7,0.0,,,1007.9,6,,USW00013904,27.8,2015-05-17T00:00:00,,,,170,,4.1
,21.7,0.0,,,1008.2,4,,USW00013904,26.7,2015-05-17T01:00:00,,,,170,,5.1
,21.7,0.0,,,1008.3,,,USW00013904,25.6,2015-05-17T02:00:00,,,,150,,5.7
,22.2,0.0,,,1009.0,,,USW00013904,24.4,2015-05-17T03:00:00,,,,160,,4.6
,22.8,0.0,,,1009.8,2,,USW00013904,23.9,2015-05-17T04:00:00,,,,150,,4.6
,22.8,0.0,,,1009.3,4,,USW00013904,23.9,2015-05-17T05:00:00,,,,160,,5.7
,22.2,0.0,,,1009.9,8,,USW00013904,24.4,2015-05-17T06:00:00,,,,160,,4.1
,22.8,0.0,,,1009.3,,,USW00013904,23.9,2015-05-17T07:00:00,,,,170,,4.6
,22.2,0.0,,,1009.1,,,USW00013904,23.9,2015-05-17T08:00:00,,,,170,,5.1
,22.2,0.0,,,1009.0,,,USW00013904,23.9,2015-05-17T09:00:00,,,,160,,5.7
,22.2,0.0,,,1010.0,,,USW00013904,23.9,2015-05-17T10:00:00,,,,180,,3.6
,21.7,2.5,,,1012.0,,,USW00013904,23.3,2015-05-17T11:00:00,,,,310,,7.2
,18.9,1.5,41.0,,1012.8,8,,USW00013904,19.4,2015-05-17T12:00:00,,,,10,,2.1
,18.3,1.5,,,,,,USW00013904,18.3,2015-05-17T13:00:00,,,,20,,4.6
,18.9,0.7,,,,,,USW00013904,18.9,2015-05-17T14:00:00,,,,330,,2.1
,18.9,3.6,,,1014.9,,,USW00013904,18.9,2015-05-17T15:00:00,,,,50,,5.7
,18.9,3.3,,,1014.9,,,USW00013904,18.9,2015-05-17T16:00:00,,,,150,,5.1
,18.9,3.3,,,1014.0,,,USW00013904,18.9,2015-05-17T17:00:00,,,,130,,11.3
,20.0,0.3,24.0,,1013.6,0,,USW00013904,21.7,2015-05-17T18:00:00,,,,,,1.5
,22.8,0.0,,,1013.4,,,USW00013904,25.6,2015-05-17T19:00:00,,,,200,,3.6
,20.6,0.0,,,1013.7,,,USW00013904,27.2,2015-05-17T20:00:00,,,,240,,4.1
,21.1,0.0,,,1013.9,,,USW00013904,27.8,2015-05-17T21:00:00,,,,200,,3.1
,21.1,0.0,,,1013.9,,,USW00013904,27.8,2015-05-17T22:00:00,,,,190,,3.6
,21.1,-0.1,,,1013.7,,,USW00013904,26.7,2015-05-17T23:00:00,,,,190,,3.1
,20.0,0.0,-0.1,,1013.6,0,,USW00013904,26.1,2015-05-18T00:00:00,,,,140,,4.1
,21.1,0.0,,,1013.8,,,USW00013904,25.6,2015-05-18T01:00:00,,,,150,,2.1
,21.1,0.0,,,1014.5,,,USW00013904,24.4,2015-05-18T02:00:00,,,,0,,0.0
,21.7,0.0,,,1015.1,,,USW00013904,25.0,2015-05-18T03:00:00,,,,0,,0.0
,21.7,0.0,,,1016.2,,,USW00013904,24.4,2015-05-18T04:00:00,,,,120,,1.5
