date,dewpoint_c,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,16.7,0.0,,,1014.3,6,,USW00012960,22.8,2016-04-11T00:00:00,,,,160,,6.7
,17.8,0.0,,,1014.2,,,USW00012960,22.2,2016-04-11T01:00:00,,,,170,,3.6
,18.3,0.0,,,1014.4,,,USW00012960,22.2,2016-04-11T02:00:00,,,,160,,6.2
,18.9,-0.1,,,1014.2,,,USW00012960,21.7,2016-04-11T03:00:00,,,,160,,7.2
,18.9,0.0,,,1014.4,,,USW00012960,21.7,2016-04-11T04:00:00,,,,160,,5.7
,18.9,-0.1,,,1015.2,,,USW00012960,21.7,2016-04-11T05:00:00,,,,170,,4.6
,20.0,0.5,0.3,,1015.6,8,,USW00012960,20.6,2016-04-11T06:00:00,,,,190,,3.6
,20.0,0.3,,,1015.7,,,USW00012960,20.6,2016-04-11T07:00:00,,,,180,,2.1
,20.0,-0.1,,,1013.9,,,USW00012960,20.6,2016-04-11T08:00:00,,,,160,,6.7
,20.6,-0.1,,,1012.8,,,USW00012960,21.1,2016-04-11T09:00:00,,,,170,,11.8
,20.6,-0.1,,,1010.6,,,USW00012960,21.1,2016-04-11T10:00:00,,,,170,,9.8
,20.0,0.0,,,1012.5,,,USW00012960,21.1,2016-04-11T11:00:00,,,,170,,6.7
,20.0,-0.1,0.5,,1013.3,8,,USW00012960,21.7,2016-04-11T12:00:00,,,,170,,5.7
,20.0,0.0,,,1014.1,,,USW00012960,21.7,2016-04-11T13:00:00,,,,160,,5.1
,20.6,-0.1,,,1014.5,,,USW00012960,21.1,2016-04-11T14:00:00,,,,170,,2.6
,21.1,-0.1,,,1014.8,,,USW00012960,22.2,2016-04-11T15:00:00,,,,170,,2.1
,20.6,0.0,,,1014.8,,,USW00012960,23.3,2016-04-11T16:00:00,,,,160,,4.6
,20.6,0.0,,,1015.0,,,USW00012960,24.4,2016-04-11T17:00:00,,,,170,,5.1
,20.6,0.0,-0.1,,1014.3,8,,USW00012960,25.6,2016-04-11T18:00:00,,,,170,,6.2
,20.6,-0.1,,,1013.9,,,USW00012960,25.0,2016-04-11T19:00:00,,,,180,,4.1
,20.6,-0.1,,,1013.8,,,USW00012960,23.9,2016-04-11T20:00:00,,,,180,,5.1
,19.4,-0.1,,,1013.3,,,USW00012960,24.4,2016-04-11T21:00:00,,,,190,,5.7
,19.4,-0.1,,,1013.0,,,USW00012960,24.4,2016-04-11T22:00:00,,,,200,,3.1
,19.4,0.0,,,1012.9,,,USW00012960,24.4,2016-04-11T23:00:00,,,,180,,3.1
,20.0,0.0,-0.1,,1012.9,8,,USW00012960,23.9,2016-04-12T00:00:00,,,,190,,4.1
,20.0,0.0,,,1013.1,,,USW00012960,23.3,2016-04-12T01:00:00,,,,180,,2.6
,20.0,0.0,,,1013.4,,,USW00012960,22.2,2016-04-12T02:00:00,,,,180,,2.1
,20.0,0.0,,,1013.9,4,,USW00012960,22.2,2016-04-12T03:00:00,,,,210,,2.1
,20.0,0.0,,,1014.4,4,,USW00012960,21.1,2016-04-12T04:00:00,,,,190,,1.5
,20.0,0.0,,,1014.8,,,USW00012960,20.6,2016-04-12T05:00:00,,,,0,,0.0
,20.6,0.0,,,1015.2,8,,USW00012960,21.7,2016-04-12T06:00:00,,,,0,,0.0
,20.6,0.0,,,1015.3,,,USW00012960,22.2,2016-04-12T07:00:00,,,,230,,3.1
,20.6,0.0,,,1015.7,,,USW00012960,22.2,2016-04-12T08:00:00,,,,330,,4.1
,20.6,0.0,,,1015.8,,,USW00012960,21.7,2016-04-12T09:00:00,,,,10,,2.6
,20.6,0.0,,,1015.7,,,USW00012960,21.1,2016-04-12T10:00:00,,,,0,,0.0
,20.6,0.0,,,1016.0,,,USW00012960,21.1,2016-04-12T11:00:00,,,,0,,0.0
,20.6,0.0,,,1016.7,8,,USW00012960,21.1,2016-04-12T12:00:00,,,,20,,1.5
,20.6,0.0,,,1017.1,,,USW00012960,21.1,2016-04-12T13:00:00,,,,50,,1.5
,20.6,0.0,,,1017.5,,,USW00012960,22.2,2016-04-12T14:00:00,,,,0,,0.0
,20.0,-0.1,,,1018.3,,,USW00012960,21.7,2016-04-12T15:00:00,,,,40,,3.6
