date,dewpoint_c,precip_1hr_mm,precip_6hr_mm,precip_mm,pressure_hpa,sky_cover_oktas,source,station_id,temp_c,timestamp,tmax_c,tmin_c,wind_avg_mps,wind_dir_deg,wind_gust_mps,wind_speed_mps
,23.3,0.0,,,1017.0,0,,USW00012917,30.0,2019-09-12T00:00:00,,,,150,,4.1
,23.9,0.0,,,1017.6,0,,USW00012917,27.8,2019-09-12T01:00:00,,,,180,,1.5
,23.9,-0.1,,,1018.3,2,,USW00012917,27.2,2019-09-12T02:00:00,,,,0,,0.0
,24.4,-0.1,,,1018.5,0,,USW00012917,25.6,2019-09-12T03:00:00,,,,0,,0.0
,24.4,0.0,,,1018.5,0,,USW00012917,26.1,2019-09-12T04:00:00,,,,10,,1.5
,24.4,0.0,,,1018.1,0,,USW00012917,27.2,2019-09-12T05:00:00,,,,30,,3.6
,23.9,0.0,0.0,,1017.6,2,,USW00012917,26.7,2019-09-12T06:00:00,,,,360,,2.6
,23.9,0.0,,,1017.3,2,,USW00012917,26.1,2019-09-12T07:00:00,,,,0,,0.0
,23.9,0.0,,,1016.7,0,,USW00012917,26.7,2019-09-12T08:00:00,,,,40,,2.1
,24.4,0.0,,,1016.2,0,,USW00012917,26.1,2019-09-12T09:00:00,,,,70,,2.1
,25.0,0.0,,,1016.4,0,,USW00012917,26.7,2019-09-12T10:00:00,,,,80,,3.1
,25.0,0.0,,,1016.9,2,,USW00012917,26.1,2019-09-12T11:00:00,,,,70,,2.1
,24.4,0.0,,,1017.3,0,,USW00012917,26.1,2019-09-12T12:00:00,,,,40,,1.5
,25.6,0.0,,,1017.9,,,USW00012917,27.2,2019-09-12T13:00:00,,,,40,,2.1
,26.1,0.0,,,1018.3,4,,USW00012917,29.4,2019-09-12T14:00:00,,,,50,,3.1
,25.6,0.0,,,1018.9,4,,USW00012917,31.1,2019-09-12T15:00:00,,,,80,,4.6
,25.6,0.0,,,1019.1,,,USW00012917,32.2,2019-09-12T16:00:00,,,,130,,5.1
,24.4,0.0,,,1018.8,,,USW00012917,31.7,2019-09-12T17:00:00,,,,90,,5.1
,24.4,0.0,,,1018.6,6,,USW00012917,33.9,2019-09-12T18:00:00,,,,120,,5.1
,24.4,0.0,,,1018.0,,,USW00012917,34.4,2019-09-12T19:00:00,,,,100,,6.2
,23.3,0.0,,,1017.4,4,,USW00012917,33.9,2019-09-12T20:00:00,,,,150,,6.2
,22.8,0.0,,,1016.8,4,,USW00012917,33.3,2019-09-12T21:00:00,,,,140,,4.6
,20.6,0.0,,,1016.7,2,,USW00012917,33.3,2019-09-12T22:00:00,,,,140,,4.6
,20.6,0.0,,,1016.6,2,,USW00012917,32.2,2019-09-12T23:00:00,,,,130,,4.1
,22.2,0.0,,,1016.2,0,,USW00012917,30.0,2019-09-13T00:00:00,,,,120,,4.1
,22.8,0.0,,,1016.3,2,,USW00012917,26.7,2019-09-13T01:00:00,,,,130,,2.6
,22.8,0.0,,,1016.9,0,,USW00012917,25.6,2019-09-13T02:00:00,,,,0,,0.0
,23.3,0.0,,,1017.5,0,,USW00012917,25.6,2019-09-13T03:00:00,,,,0,,0.0
,23.3,0.0,,,1017.9,0,,USW00012917,25.0,2019-09-13T04:00:00,,,,0,,0.0
,23.3,0.0,,,1017.6,0,,USW00012917,25.0,2019-09-13T05:00:00,,,,0,,0.0
,23.3,0.0,,,1017.8,0,,USW00012917,25.0,2019-09-13T06:00:00,,,,310,,2.6
